chr	start	end	adipocyte	endothelial_cell	colon_fibroblasts	heart_fibroblasts	dermal_fibroblast	skeletal_muscle	smooth_muscle	heart_cardiomyocyte	bone_osteoblast	oligodendrocyte	neuron	hepatocyte	pancreas_duct	pancreas_acinar	pancreas_delta	pancreas_beta	pancreas_alpha	kidney_epithelial	thyroid_epithelial	fallopian_epithelial	ovary_epithelial	erythrocyte_progenitor	T-cell	NK-cell	monocyte	granulocyte	B-cell	epiderminal_keratinocyte	head_neck_epithelial	lung_epithelial	prostate_epithelial	bladder_epithelial	breast_luminal	breast_basal	lung_alveolar_epithelial	gallbladder	gastric_epithelial	colon_epithelial	small_int_epithelial
chr10	132425740	132425929	0.90	0.94	0.92	0.75	0.90	0.68	0.78	0.97	0.82	0.66	0.83	0.96	0.97	0.92	0.94	0.92	0.96	0.96	0.95	0.97	0.95	0.83	0.96	0.98	0.97	0.97	0.96	0.91	0.95	0.94	0.91	0.96	0.79	0.10	0.95	0.96	0.95	0.95	0.95
chr10	132466442	132466672	0.77	0.75	0.71	0.76	0.21	0.87	0.69	0.72	0.79	0.95	0.90	0.87	0.94	0.93	0.94	0.94	0.87	0.88	0.95	0.86	0.88	0.69	0.84	0.93	0.94	0.94	0.82	0.86	0.88	0.88	0.92	0.92	0.94	0.97	0.95	0.91	0.91	0.86	0.79
chr10	132470276	132470551	0.87	0.87	0.77	0.87	0.54	0.90	0.80	0.88	0.44	0.88	0.94	0.94	0.95	0.90	0.97	0.97	0.92	0.89	0.10	0.82	0.94	0.65	0.90	0.92	0.93	0.92	0.86	0.90	0.89	0.74	0.94	0.88	0.89	0.95	0.03	0.96	0.92	0.93	0.92
chr10	132557194	132557432	0.95	0.94	0.90	0.92	0.87	0.86	0.85	0.88	0.93	0.95	0.95	0.97	0.95	0.97	0.95	0.95	0.94	0.94	0.90	0.94	0.87	0.75	0.94	0.97	0.96	0.96	0.92	0.91	0.90	0.89	0.82	0.27	0.77	0.94	0.88	0.93	0.72	0.93	0.94
chr10	132658492	132658706	0.92	0.91	0.87	0.91	0.90	0.88	0.88	0.94	0.91	0.95	0.95	0.96	0.16	0.85	0.81	0.86	0.80	0.96	0.94	0.96	0.91	0.74	0.93	0.96	0.97	0.98	0.95	0.90	0.91	0.91	0.88	0.93	0.94	0.95	0.90	0.73	0.93	0.95	0.94
chr10	132686284	132686749	0.94	0.91	0.91	0.94	0.93	0.94	0.92	0.89	0.91	0.94	0.96	0.92	0.03	0.92	0.60	0.28	0.91	0.97	0.96	0.95	0.94	0.70	0.94	0.50	0.96	0.96	0.96	0.93	0.95	0.96	0.95	0.86	0.97	0.97	0.93	0.64	0.91	0.95	0.95
chr10	132735371	132735662	0.90	0.94	0.85	0.92	0.80	0.92	0.86	0.94	0.52	0.04	0.82	0.98	0.97	0.95	0.93	0.94	0.94	0.85	0.95	0.96	0.95	0.69	0.92	0.93	0.96	0.97	0.95	0.93	0.92	0.91	0.95	0.96	0.93	0.91	0.94	0.92	0.94	0.95	0.95
chr10	132738793	132739262	0.93	0.95	0.86	0.93	0.93	0.92	0.89	0.92	0.91	0.07	0.83	0.97	0.98	0.96	0.96	0.97	0.96	0.96	0.94	0.97	0.96	0.72	0.94	0.95	0.97	0.98	0.96	0.94	0.93	0.95	0.96	0.97	0.93	0.96	0.95	0.94	0.95	0.96	0.97
chr10	132746045	132746362	0.94	0.95	0.88	0.91	0.91	0.92	0.88	0.94	0.86	0.95	0.90	0.97	0.97	0.94	0.93	0.94	0.92	0.94	0.02	0.97	0.95	0.76	0.92	0.95	0.97	0.98	0.93	0.89	0.90	0.91	0.96	0.93	0.85	0.92	0.93	0.95	0.94	0.94	0.93
chr10	132753659	132753977	0.92	0.90	0.87	0.76	0.94	0.89	0.82	0.74	0.91	0.94	0.94	0.92	0.12	0.87	0.85	0.91	0.92	0.96	0.96	0.94	0.94	0.72	0.96	0.97	0.97	0.97	0.97	0.89	0.85	0.84	0.90	0.96	0.93	0.96	0.89	0.17	0.81	0.95	0.94
chr10	132779636	132780028	0.96	0.95	0.93	0.94	0.94	0.90	0.93	0.93	0.90	0.93	0.97	0.98	0.97	0.97	0.95	0.93	0.94	0.91	0.95	0.12	0.74	0.80	0.95	0.97	0.97	0.98	0.96	0.94	0.94	0.94	0.97	0.96	0.98	0.97	0.96	0.95	0.96	0.96	0.95
chr10	133174317	133174469	0.82	0.94	0.94	0.82	0.94	0.75	0.83	0.97	0.93	0.95	0.96	0.92	0.96	0.91	0.97	0.96	0.97	0.96	0.97	0.98	0.96	0.68	0.92	0.93	0.23	0.42	0.85	0.95	0.95	0.97	0.95	0.96	0.96	0.96	0.97	0.96	0.94	0.95	0.93
chr10	133217295	133217488	0.82	0.84	0.86	0.84	0.76	0.62	0.81	0.88	0.84	0.91	0.95	0.90	0.90	0.77	0.95	0.92	0.94	0.84	0.77	0.91	0.90	0.67	0.89	0.92	0.90	0.90	0.89	0.86	0.83	0.62	0.88	0.92	0.64	0.73	0.05	0.93	0.89	0.88	0.88
chr10	133270790	133271406	0.87	0.91	0.90	0.84	0.89	0.89	0.85	0.94	0.81	0.92	0.91	0.96	0.93	0.91	0.88	0.94	0.93	0.95	0.95	0.95	0.93	0.78	0.95	0.97	0.96	0.96	0.96	0.81	0.71	0.83	0.91	0.92	0.82	0.11	0.92	0.91	0.86	0.89	0.85
chr10	133306561	133307136	0.87	0.90	0.86	0.89	0.84	0.87	0.85	0.90	0.80	0.91	0.88	0.96	0.92	0.85	0.90	0.90	0.91	0.27	0.87	0.88	0.92	0.84	0.95	0.96	0.95	0.96	0.95	0.90	0.90	0.92	0.93	0.94	0.94	0.82	0.92	0.91	0.90	0.94	0.93
chr10	133393036	133393502	0.97	0.96	0.93	0.93	0.94	0.94	0.94	0.97	0.95	0.96	0.92	0.97	0.97	0.95	0.75	0.25	0.88	0.96	0.82	0.99	0.96	0.88	0.97	0.98	0.97	0.98	0.95	0.94	0.96	0.97	0.98	0.97	0.97	0.96	0.97	0.94	0.97	0.97	0.97
chr11	232602	233048	0.91	0.93	0.91	0.89	0.90	0.92	0.87	0.92	0.89	0.95	0.96	0.97	0.96	0.92	0.92	0.91	0.93	0.96	0.95	0.96	0.96	0.84	0.95	0.96	0.97	0.96	0.96	0.92	0.90	0.92	0.90	0.96	0.15	0.20	0.95	0.93	0.95	0.96	0.96
chr11	233159	233418	0.85	0.90	0.88	0.84	0.86	0.89	0.86	0.90	0.86	0.91	0.92	0.94	0.88	0.86	0.86	0.87	0.85	0.91	0.94	0.87	0.89	0.82	0.91	0.92	0.94	0.93	0.94	0.85	0.77	0.84	0.88	0.85	0.09	0.18	0.88	0.90	0.89	0.92	0.90
chr11	270681	270969	0.82	0.86	0.91	0.66	0.83	0.84	0.66	0.86	0.69	0.88	0.87	0.85	0.91	0.82	0.84	0.85	0.82	0.84	0.88	0.86	0.90	0.73	0.95	0.96	0.86	0.89	0.94	0.92	0.89	0.88	0.92	0.85	0.93	0.96	0.86	0.82	0.82	0.89	0.10
chr11	271008	271487	0.84	0.87	0.90	0.71	0.81	0.89	0.68	0.91	0.75	0.88	0.90	0.88	0.85	0.84	0.83	0.83	0.78	0.90	0.87	0.88	0.90	0.75	0.96	0.97	0.95	0.96	0.95	0.90	0.90	0.91	0.92	0.88	0.92	0.96	0.84	0.61	0.85	0.85	0.12
chr11	271882	272179	0.81	0.84	0.86	0.66	0.82	0.82	0.68	0.87	0.70	0.90	0.93	0.85	0.94	0.90	0.86	0.83	0.86	0.92	0.85	0.92	0.92	0.65	0.95	0.96	0.97	0.95	0.96	0.92	0.89	0.84	0.90	0.83	0.95	0.96	0.79	0.83	0.82	0.79	0.03
chr11	272255	272628	0.87	0.89	0.90	0.76	0.86	0.82	0.71	0.89	0.75	0.92	0.93	0.85	0.95	0.85	0.86	0.89	0.83	0.87	0.86	0.90	0.88	0.67	0.91	0.94	0.94	0.96	0.85	0.86	0.85	0.86	0.93	0.92	0.90	0.93	0.87	0.87	0.89	0.93	0.02
chr11	277976	278130	0.74	0.74	0.76	0.64	0.84	0.79	0.57	0.79	0.68	0.77	0.87	0.94	0.85	0.85	0.70	0.83	0.73	0.86	0.85	0.78	0.76	0.64	0.87	0.93	0.92	0.95	0.88	0.81	0.79	0.83	0.87	0.75	0.92	0.94	0.76	0.86	0.67	0.81	0.04
chr11	286422	286783	0.93	0.95	0.91	0.90	0.93	0.93	0.86	0.96	0.91	0.96	0.96	0.95	0.97	0.96	0.93	0.91	0.91	0.95	0.95	0.97	0.89	0.70	0.93	0.97	0.96	0.98	0.93	0.90	0.90	0.94	0.95	0.93	0.96	0.97	0.95	0.93	0.93	0.86	0.21
chr11	440076	440628	0.77	0.79	0.82	0.67	0.74	0.80	0.62	0.82	0.69	0.78	0.91	0.84	0.96	0.95	0.98	0.96	0.98	0.95	0.94	0.96	0.94	0.74	0.92	0.94	0.94	0.94	0.92	0.94	0.87	0.91	0.95	0.94	0.97	0.96	0.95	0.94	0.94	0.85	0.20
chr11	542539	542812	0.91	0.92	0.90	0.88	0.96	0.92	0.86	0.13	0.92	0.93	0.93	0.96	0.96	0.94	0.94	0.95	0.93	0.92	0.95	0.93	0.96	0.80	0.93	0.94	0.94	0.93	0.78	0.94	0.95	0.91	0.97	0.95	0.94	0.96	0.91	0.93	0.95	0.95	0.95
chr11	544026	544177	0.96	0.97	0.94	0.92	0.93	0.96	0.92	0.98	0.94	0.96	0.97	0.97	0.98	0.96	0.94	0.95	0.97	0.97	0.96	0.97	0.96	0.77	0.95	0.98	0.97	0.96	0.96	0.30	0.31	0.91	0.97	0.95	0.96	0.93	0.97	0.93	0.95	0.94	0.86
chr11	591084	591248	0.82	0.84	0.90	0.86	0.80	0.85	0.87	0.86	0.84	0.66	0.66	0.96	0.93	0.92	0.88	0.88	0.94	0.90	0.93	0.02	0.68	0.92	0.94	0.97	0.97	0.95	0.96	0.91	0.86	0.85	0.90	0.94	0.89	0.56	0.93	0.94	0.90	0.95	0.94
chr11	604873	605237	0.94	0.95	0.93	0.92	0.95	0.93	0.90	0.94	0.91	0.12	0.92	0.96	0.96	0.93	0.93	0.94	0.95	0.96	0.95	0.98	0.96	0.94	0.96	0.98	0.98	0.98	0.96	0.82	0.85	0.94	0.92	0.95	0.95	0.85	0.96	0.96	0.96	0.96	0.96
chr11	610912	611183	0.87	0.91	0.88	0.89	0.90	0.89	0.84	0.89	0.88	0.89	0.93	0.14	0.97	0.96	0.93	0.92	0.95	0.95	0.94	0.97	0.96	0.96	0.95	0.95	0.96	0.96	0.94	0.93	0.90	0.93	0.94	0.95	0.95	0.90	0.95	0.92	0.93	0.95	0.92
chr11	686485	686682	0.88	0.92	0.89	0.84	0.84	0.89	0.88	0.96	0.92	0.91	0.93	0.76	0.93	0.87	0.88	0.89	0.93	0.92	0.95	0.90	0.63	0.87	0.95	0.95	0.96	0.94	0.96	0.92	0.93	0.88	0.95	0.96	0.96	0.96	0.92	0.04	0.05	0.92	0.88
chr11	784135	784316	0.88	0.91	0.93	0.72	0.90	0.51	0.76	0.90	0.79	0.90	0.17	0.97	0.96	0.88	0.95	0.94	0.95	0.95	0.93	0.97	0.97	0.79	0.94	0.96	0.97	0.96	0.96	0.78	0.85	0.84	0.93	0.96	0.97	0.94	0.92	0.96	0.93	0.88	0.82
chr11	858513	858755	0.87	0.93	0.90	0.90	0.87	0.90	0.88	0.92	0.90	0.93	0.30	0.95	0.93	0.89	0.94	0.93	0.92	0.95	0.93	0.90	0.90	0.91	0.94	0.96	0.97	0.96	0.95	0.89	0.85	0.82	0.92	0.86	0.90	0.88	0.93	0.92	0.91	0.82	0.74
chr11	868451	868668	0.85	0.89	0.84	0.85	0.83	0.86	0.82	0.89	0.84	0.93	0.91	0.97	0.87	0.04	0.81	0.87	0.88	0.94	0.85	0.95	0.94	0.86	0.93	0.96	0.95	0.95	0.90	0.89	0.82	0.80	0.94	0.94	0.96	0.93	0.82	0.98	0.96	0.93	0.94
chr11	917018	917183	0.84	0.93	0.86	0.86	0.87	0.71	0.89	0.88	0.88	0.93	0.92	0.96	0.97	0.95	0.91	0.92	0.93	0.94	0.95	0.93	0.96	0.81	0.92	0.79	0.19	0.28	0.79	0.96	0.95	0.95	0.97	0.94	0.97	0.96	0.96	0.97	0.95	0.96	0.95
chr11	939168	939467	0.92	0.92	0.93	0.95	0.97	0.97	0.91	0.95	0.93	0.96	0.92	0.89	0.79	0.93	0.89	0.89	0.92	0.17	0.94	0.96	0.92	0.89	0.96	0.98	0.97	0.98	0.94	0.94	0.94	0.95	0.98	0.96	0.98	0.97	0.96	0.66	0.95	0.95	0.95
chr11	962688	962920	0.95	0.95	0.93	0.94	0.93	0.90	0.93	0.95	0.96	0.72	0.74	0.97	0.97	0.96	0.95	0.95	0.96	0.96	0.97	0.97	0.97	0.01	0.96	0.95	0.98	0.94	0.96	0.88	0.96	0.97	0.98	0.98	0.97	0.96	0.95	0.96	0.97	0.98	0.97
chr11	1019377	1019546	0.89	0.94	0.79	0.91	0.92	0.91	0.83	0.96	0.35	0.94	0.91	0.95	0.97	0.96	0.95	0.95	0.97	0.96	0.94	0.97	0.97	0.53	0.78	0.07	0.83	0.87	0.80	0.95	0.94	0.93	0.97	0.95	0.96	0.96	0.94	0.93	0.76	0.95	0.94
chr11	1222169	1222375	0.81	0.88	0.87	0.77	0.82	0.81	0.74	0.92	0.81	0.93	0.94	0.91	0.92	0.81	0.92	0.96	0.95	0.90	0.92	0.95	0.88	0.75	0.90	0.93	0.91	0.92	0.91	0.92	0.90	0.93	0.94	0.93	0.93	0.92	0.92	0.03	0.87	0.84	0.91
chr11	1225812	1225971	0.84	0.89	0.87	0.81	0.89	0.85	0.70	0.90	0.78	0.90	0.94	0.85	0.92	0.77	0.87	0.92	0.92	0.94	0.91	0.95	0.90	0.70	0.91	0.89	0.92	0.92	0.90	0.84	0.80	0.86	0.95	0.88	0.86	0.94	0.88	0.04	0.94	0.91	0.88
chr11	1227668	1227818	0.75	0.83	0.84	0.72	0.79	0.77	0.67	0.89	0.77	0.90	0.94	0.80	0.83	0.65	0.88	0.89	0.88	0.85	0.82	0.93	0.86	0.57	0.85	0.88	0.88	0.92	0.88	0.80	0.79	0.88	0.86	0.81	0.91	0.86	0.81	0.00	0.93	0.91	0.77
chr11	1230311	1230498	0.84	0.86	0.86	0.70	0.88	0.83	0.76	0.70	0.77	0.94	0.96	0.88	0.87	0.83	0.94	0.91	0.94	0.91	0.88	0.94	0.95	0.77	0.93	0.94	0.93	0.92	0.94	0.82	0.88	0.92	0.88	0.91	0.93	0.84	0.89	0.09	0.97	0.95	0.92
chr11	1252241	1252690	0.92	0.92	0.92	0.83	0.90	0.93	0.83	0.92	0.80	0.91	0.96	0.95	0.91	0.88	0.93	0.96	0.94	0.92	0.95	0.86	0.77	0.75	0.95	0.97	0.96	0.96	0.96	0.84	0.90	0.91	0.90	0.93	0.90	0.88	0.90	0.15	0.89	0.90	0.85
chr11	1280404	1280695	0.90	0.92	0.90	0.87	0.90	0.88	0.87	0.93	0.86	0.83	0.29	0.95	0.93	0.89	0.85	0.85	0.88	0.94	0.93	0.93	0.94	0.87	0.94	0.97	0.96	0.96	0.96	0.94	0.92	0.90	0.92	0.94	0.94	0.94	0.91	0.92	0.92	0.94	0.94
chr11	1421280	1421501	0.93	0.91	0.89	0.79	0.77	0.92	0.73	0.91	0.81	0.86	0.21	0.95	0.96	0.87	0.97	0.95	0.97	0.92	0.90	0.88	0.84	0.75	0.95	0.98	0.96	0.96	0.94	0.84	0.80	0.83	0.89	0.90	0.88	0.86	0.89	0.94	0.91	0.82	0.80
chr11	1508276	1508459	0.60	0.70	0.81	0.82	0.06	0.81	0.67	0.85	0.75	0.87	0.88	0.96	0.94	0.94	0.93	0.94	0.94	0.89	0.84	0.72	0.88	0.85	0.94	0.93	0.96	0.93	0.94	0.84	0.86	0.86	0.92	0.92	0.95	0.90	0.59	0.87	0.92	0.92	0.93
chr11	1618157	1618319	0.60	0.85	0.90	0.79	0.20	0.45	0.73	0.94	0.82	0.94	0.94	0.90	0.95	0.95	0.96	0.95	0.94	0.75	0.92	0.91	0.86	0.65	0.92	0.96	0.95	0.94	0.94	0.78	0.92	0.94	0.95	0.94	0.91	0.94	0.93	0.91	0.93	0.95	0.94
chr11	1770363	1770562	0.85	0.87	0.81	0.83	0.89	0.70	0.85	0.88	0.84	0.92	0.92	0.88	0.95	0.75	0.87	0.86	0.83	0.95	0.93	0.96	0.92	0.75	0.87	0.92	0.26	0.33	0.79	0.89	0.91	0.96	0.95	0.94	0.96	0.96	0.93	0.90	0.93	0.86	0.81
chr11	1813366	1813616	0.87	0.89	0.84	0.78	0.89	0.69	0.71	0.95	0.82	0.95	0.96	0.93	0.96	0.94	0.89	0.92	0.86	0.87	0.88	0.94	0.90	0.60	0.87	0.92	0.83	0.07	0.87	0.93	0.95	0.93	0.94	0.94	0.97	0.98	0.91	0.92	0.93	0.91	0.91
chr11	1838757	1839005	0.93	0.95	0.93	0.85	0.90	0.51	0.82	0.92	0.87	0.94	0.93	0.97	0.94	0.95	0.87	0.90	0.83	0.92	0.93	0.93	0.90	0.74	0.96	0.97	0.96	0.95	0.96	0.80	0.91	0.86	0.94	0.86	0.94	0.74	0.85	0.06	0.90	0.90	0.87
chr11	1841012	1841211	0.95	0.96	0.89	0.90	0.89	0.74	0.89	0.98	0.94	0.96	0.96	0.93	0.95	0.98	0.85	0.88	0.79	0.91	0.94	0.89	0.93	0.88	0.94	0.96	0.96	0.97	0.93	0.86	0.88	0.86	0.95	0.89	0.91	0.82	0.89	0.19	0.93	0.90	0.87
chr11	1962537	1962995	0.56	0.88	0.79	0.73	0.37	0.65	0.30	0.93	0.76	0.69	0.91	0.95	0.91	0.89	0.88	0.89	0.88	0.95	0.93	0.93	0.88	0.72	0.87	0.92	0.96	0.96	0.88	0.90	0.85	0.87	0.92	0.90	0.96	0.95	0.92	0.90	0.84	0.92	0.92
chr11	2013415	2013916	0.64	0.86	0.79	0.72	0.25	0.82	0.53	0.92	0.74	0.89	0.94	0.93	0.93	0.77	0.87	0.88	0.78	0.78	0.87	0.72	0.82	0.62	0.80	0.87	0.92	0.94	0.80	0.76	0.81	0.84	0.92	0.84	0.83	0.91	0.77	0.78	0.79	0.80	0.79
chr11	2071569	2071780	0.87	0.89	0.84	0.80	0.83	0.76	0.84	0.92	0.82	0.90	0.85	0.95	0.85	0.67	0.73	0.84	0.73	0.89	0.85	0.89	0.80	0.63	0.89	0.92	0.93	0.96	0.91	0.00	0.67	0.62	0.37	0.72	0.49	0.53	0.81	0.85	0.85	0.86	0.87
chr11	2154049	2154791	0.87	0.89	0.79	0.81	0.82	0.89	0.78	0.91	0.79	0.91	0.95	0.70	0.90	0.66	0.83	0.04	0.80	0.89	0.89	0.88	0.79	0.63	0.82	0.89	0.91	0.92	0.81	0.85	0.81	0.85	0.91	0.87	0.92	0.94	0.81	0.88	0.84	0.67	0.70
chr11	2154812	2155072	0.87	0.90	0.88	0.87	0.80	0.92	0.87	0.94	0.84	0.92	0.89	0.77	0.93	0.79	0.91	0.01	0.86	0.92	0.90	0.93	0.88	0.71	0.89	0.92	0.93	0.96	0.92	0.92	0.88	0.89	0.93	0.92	0.92	0.93	0.87	0.92	0.91	0.80	0.80
chr11	2155155	2155338	0.84	0.87	0.79	0.73	0.79	0.83	0.71	0.87	0.76	0.90	0.91	0.55	0.91	0.58	0.85	0.01	0.73	0.87	0.91	0.87	0.79	0.63	0.79	0.91	0.92	0.92	0.79	0.84	0.78	0.88	0.91	0.84	0.83	0.86	0.81	0.85	0.85	0.75	0.73
chr11	2158796	2159065	0.83	0.89	0.83	0.76	0.92	0.89	0.77	0.96	0.65	0.92	0.94	0.13	0.94	0.68	0.89	0.00	0.76	0.88	0.86	0.88	0.82	0.63	0.83	0.89	0.92	0.93	0.77	0.88	0.77	0.83	0.95	0.88	0.90	0.97	0.81	0.95	0.83	0.73	0.64
chr11	2328666	2329236	0.95	0.94	0.89	0.83	0.89	0.93	0.72	0.97	0.67	0.71	0.93	0.96	0.98	0.92	0.94	0.96	0.95	0.94	0.83	0.94	0.94	0.70	0.93	0.95	0.96	0.96	0.95	0.96	0.10	0.13	0.67	0.96	0.97	0.97	0.84	0.98	0.92	0.94	0.93
chr11	2393700	2394120	0.90	0.92	0.77	0.94	0.91	0.91	0.86	0.91	0.91	0.94	0.88	0.96	0.96	0.95	0.92	0.76	0.94	0.97	0.95	0.90	0.90	0.81	0.94	0.93	0.95	0.97	0.12	0.81	0.90	0.90	0.91	0.95	0.96	0.90	0.95	0.95	0.95	0.92	0.93
chr11	2717929	2718211	0.93	0.93	0.86	0.84	0.86	0.91	0.81	0.96	0.78	0.95	0.94	0.91	0.97	0.97	0.94	0.95	0.94	0.92	0.85	0.97	0.94	0.64	0.86	0.87	0.92	0.89	0.82	0.06	0.10	0.78	0.87	0.93	0.87	0.97	0.92	0.92	0.94	0.93	0.89
chr11	2728205	2728423	0.81	0.88	0.84	0.83	0.72	0.87	0.68	0.95	0.81	0.62	0.94	0.89	0.06	0.93	0.92	0.95	0.95	0.89	0.89	0.95	0.91	0.72	0.87	0.90	0.95	0.96	0.89	0.90	0.88	0.93	0.96	0.94	0.79	0.61	0.95	0.82	0.93	0.90	0.39
chr11	2730485	2730792	0.84	0.90	0.83	0.75	0.74	0.92	0.71	0.88	0.70	0.71	0.95	0.85	0.05	0.95	0.95	0.94	0.98	0.75	0.90	0.98	0.96	0.66	0.83	0.89	0.95	0.97	0.87	0.88	0.92	0.96	0.97	0.95	0.98	0.92	0.98	0.35	0.94	0.92	0.69
chr11	2759456	2759694	0.90	0.91	0.85	0.76	0.85	0.90	0.76	0.96	0.74	0.96	0.96	0.91	0.90	0.96	0.91	0.95	0.95	0.83	0.93	0.39	0.83	0.87	0.86	0.90	0.94	0.95	0.86	0.83	0.88	0.95	0.96	0.96	0.92	0.97	0.94	0.12	0.93	0.96	0.96
chr11	2761740	2761970	0.91	0.92	0.84	0.76	0.85	0.73	0.76	0.95	0.63	0.90	0.92	0.92	0.91	0.94	0.92	0.95	0.96	0.78	0.91	0.91	0.92	0.69	0.86	0.88	0.94	0.94	0.88	0.82	0.79	0.89	0.94	0.94	0.89	0.95	0.94	0.08	0.90	0.82	0.88
chr11	2934887	2935123	0.85	0.86	0.89	0.83	0.90	0.78	0.84	0.95	0.79	0.91	0.88	0.93	0.36	0.84	0.69	0.84	0.76	0.68	0.90	0.00	0.52	0.76	0.94	0.98	0.95	0.97	0.92	0.90	0.81	0.76	0.81	0.90	0.87	0.86	0.87	0.55	0.90	0.87	0.72
chr11	2942095	2942312	0.88	0.92	0.83	0.90	0.94	0.93	0.89	0.93	0.77	0.95	0.94	0.95	0.97	0.95	0.96	0.97	0.97	0.28	0.02	0.89	0.78	0.85	0.95	0.97	0.95	0.96	0.90	0.78	0.84	0.88	0.93	0.90	0.94	0.93	0.95	0.93	0.90	0.92	0.90
chr11	3139830	3140045	0.89	0.92	0.84	0.79	0.86	0.91	0.78	0.95	0.84	0.93	0.81	0.97	0.96	0.94	0.95	0.95	0.94	0.96	0.95	0.97	0.95	0.65	0.83	0.18	0.91	0.83	0.93	0.78	0.87	0.86	0.94	0.95	0.90	0.91	0.92	0.94	0.93	0.93	0.91
chr11	3447545	3447839	0.85	0.89	0.81	0.72	0.86	0.88	0.69	0.94	0.70	0.93	0.94	0.92	0.73	0.82	0.87	0.91	0.92	0.94	0.92	0.91	0.88	0.68	0.87	0.89	0.93	0.92	0.89	0.76	0.73	0.82	0.71	0.20	0.93	0.94	0.92	0.41	0.83	0.91	0.86
chr11	3753738	3754224	0.95	0.95	0.94	0.94	0.91	0.95	0.92	0.96	0.95	0.95	0.94	0.16	0.97	0.96	0.96	0.95	0.97	0.96	0.96	0.95	0.94	0.87	0.95	0.97	0.95	0.94	0.96	0.94	0.91	0.93	0.92	0.94	0.77	0.88	0.95	0.96	0.96	0.94	0.93
chr11	6400401	6400795	0.97	0.96	0.94	0.95	0.95	0.96	0.92	0.94	0.97	0.09	0.87	0.97	0.98	0.96	0.97	0.97	0.98	0.98	0.97	0.98	0.96	0.71	0.95	0.97	0.97	0.97	0.97	0.92	0.96	0.97	0.96	0.97	0.95	0.96	0.95	0.97	0.95	0.96	0.95
chr11	6439935	6440443	0.85	0.91	0.86	0.76	0.93	0.87	0.78	0.93	0.76	0.97	0.97	0.05	0.94	0.77	0.93	0.96	0.97	0.95	0.85	0.96	0.94	0.60	0.94	0.93	0.95	0.97	0.95	0.90	0.86	0.92	0.94	0.86	0.95	0.96	0.92	0.94	0.93	0.94	0.91
chr11	6478128	6478483	0.85	0.92	0.91	0.88	0.92	0.87	0.81	0.94	0.88	0.93	0.92	0.96	0.87	0.88	0.85	0.90	0.88	0.92	0.88	0.38	0.78	0.77	0.91	0.92	0.95	0.94	0.92	0.62	0.69	0.74	0.85	0.92	0.07	0.51	0.81	0.90	0.90	0.86	0.88
chr11	7556151	7556347	0.95	0.95	0.93	0.88	0.94	0.93	0.83	0.98	0.93	0.94	0.97	0.97	0.97	0.97	0.97	0.97	0.98	0.96	0.96	0.98	0.96	0.69	0.92	0.95	0.97	0.96	0.97	0.95	0.96	0.96	0.91	0.96	0.97	0.98	0.96	0.96	0.11	0.94	0.88
chr11	8237385	8237626	0.92	0.91	0.87	0.81	0.88	0.70	0.77	0.96	0.85	0.96	0.97	0.95	0.97	0.87	0.95	0.64	0.05	0.96	0.96	0.97	0.91	0.67	0.91	0.92	0.96	0.94	0.95	0.87	0.93	0.93	0.94	0.91	0.97	0.98	0.91	0.92	0.91	0.94	0.93
chr11	8251644	8251977	0.88	0.87	0.80	0.72	0.81	0.86	0.66	0.88	0.69	0.95	0.75	0.87	0.92	0.70	0.90	0.87	0.84	0.92	0.92	0.91	0.88	0.59	0.79	0.90	0.92	0.92	0.88	0.13	0.61	0.86	0.89	0.80	0.90	0.90	0.85	0.86	0.81	0.90	0.88
chr11	8260504	8260737	0.85	0.87	0.81	0.69	0.84	0.91	0.70	0.95	0.67	0.96	0.97	0.69	0.78	0.68	0.39	0.06	0.28	0.93	0.93	0.91	0.83	0.57	0.81	0.88	0.93	0.93	0.87	0.74	0.94	0.91	0.92	0.80	0.92	0.97	0.63	0.76	0.80	0.84	0.78
chr11	8266361	8266751	0.87	0.87	0.80	0.64	0.74	0.90	0.64	0.93	0.65	0.95	0.96	0.76	0.90	0.73	0.96	0.93	0.97	0.85	0.88	0.88	0.85	0.46	0.71	0.83	0.88	0.90	0.85	0.07	0.63	0.87	0.89	0.79	0.81	0.57	0.69	0.84	0.81	0.86	0.83
chr11	8315259	8315437	0.81	0.83	0.72	0.72	0.83	0.81	0.59	0.95	0.32	0.95	0.95	0.88	0.92	0.84	0.71	0.01	0.95	0.94	0.91	0.87	0.44	0.70	0.87	0.90	0.93	0.97	0.91	0.87	0.83	0.77	0.83	0.84	0.91	0.94	0.90	0.95	0.89	0.82	0.76
chr11	8620479	8620653	0.93	0.94	0.89	0.92	0.86	0.91	0.86	0.96	0.90	0.96	0.95	0.96	0.96	0.92	0.91	0.94	0.93	0.94	0.94	0.96	0.91	0.74	0.94	0.97	0.97	0.97	0.97	0.57	0.83	0.90	0.92	0.90	0.77	0.11	0.94	0.96	0.92	0.94	0.95
chr11	8699446	8699672	0.96	0.96	0.92	0.93	0.95	0.87	0.91	0.93	0.93	0.96	0.97	0.97	0.38	0.96	0.84	0.92	0.93	0.97	0.95	0.77	0.95	0.87	0.95	0.97	0.97	0.96	0.94	0.94	0.95	0.94	0.94	0.97	0.71	0.08	0.97	0.87	0.97	0.97	0.96
